Ticker Symbol,Company Name,Annoucement Date,For Quarter Ended In,Estimated EPS,Actual EPS,Surprise,Surprise %
DUK,Duke Energy,8-Nov-19,19-Sep,1.69,1.79,0.1,5.9
FIS,Fidelity National Information Services,5-Nov-19,19-Sep,1.35,1.43,0.08,5.9
PM,Philip Morris International,17-Oct-19,19-Sep,1.35,1.43,0.08,5.9
COST,Costco Wholesale Corp.,3-Oct-19,19-Aug,2.54,2.69,0.15,5.9
JNJ,Johnson & Johnson,15-Oct-19,19-Sep,2,2.12,0.12,6
LRCX,Lam Research,23-Oct-19,19-Sep,3,3.18,0.18,6
SJM,JM Smucker,22-Nov-19,19-Oct,2.13,2.26,0.13,6.1
ROST,Ross Stores,21-Nov-19,19-Oct,0.97,1.03,0.06,6.1
MXIM,Maxim Integrated Products Inc,29-Oct-19,19-Sep,0.49,0.52,0.03,6.1
XOM,Exxon Mobil Corp.,1-Nov-19,19-Sep,0.64,0.68,0.04,6.2
ORLY,O'Reilly Automotive,23-Oct-19,19-Sep,4.78,5.08,0.3,6.2
INFO,IHS Markit Ltd.,24-Sep-19,19-Aug,0.63,0.67,0.04,6.3
WMT,Walmart,14-Nov-19,19-Oct,1.09,1.16,0.07,6.4
HRB,H&R Block,4-Dec-19,19-Oct,-0.91,-0.85,0.06,6.5
HPE,Hewlett Packard Enterprise,25-Nov-19,19-Oct,0.46,0.49,0.03,6.5
AAPL,Apple Inc.,30-Oct-19,19-Sep,2.84,3.03,0.19,6.6
RL,Ralph Lauren Corporation,7-Nov-19,19-Sep,2.39,2.55,0.16,6.6
PGR,Progressive Corp.,16-Oct-19,19-Sep,1.33,1.42,0.09,6.7
ADSK,Autodesk Inc.,26-Nov-19,19-Oct,0.73,0.78,0.05,6.8
AMP,Ameriprise Financial,23-Oct-19,19-Sep,3.97,4.24,0.27,6.8
CSX,CSX Corp.,16-Oct-19,19-Sep,1.01,1.08,0.07,6.9
MA,Mastercard Inc.,29-Oct-19,19-Sep,2.01,2.15,0.14,6.9
MGM,MGM Resorts International,30-Oct-19,19-Sep,0.29,0.31,0.02,6.9
RMD,ResMed,24-Oct-19,19-Sep,0.87,0.93,0.06,6.9
LKQ,LKQ Corporation,31-Oct-19,19-Sep,0.57,0.61,0.04,7
RSG,Republic Services Inc,30-Oct-19,19-Sep,0.85,0.91,0.06,7
COG,Cabot Oil & Gas,24-Oct-19,19-Sep,0.27,0.29,0.02,7.4
CDW,CDW,31-Oct-19,19-Sep,1.58,1.7,0.12,7.5
SLB,Schlumberger Ltd.,18-Oct-19,19-Sep,0.4,0.43,0.03,7.5
TROW,T. Rowe Price Group,24-Oct-19,19-Sep,1.98,2.13,0.15,7.5
URI,United Rentals Inc.,16-Oct-19,19-Sep,5.53,5.96,0.43,7.7
HOG,Harley-Davidson,22-Oct-19,19-Sep,0.51,0.55,0.04,7.8
VRTX,Vertex Pharmaceuticals ,30-Oct-19,19-Sep,1.14,1.23,0.09,7.8
LHX,L3Harris Technologies,30-Oct-19,19-Sep,2.39,2.58,0.19,7.9
BK,The Bank of New York Mellon Corp.,16-Oct-19,19-Sep,0.99,1.07,0.08,8
DHI,D. R. Horton,12-Nov-19,19-Sep,1.25,1.35,0.1,8
ETFC,E*Trade,17-Oct-19,19-Sep,1,1.08,0.08,8
MCO,Moody's Corp,30-Oct-19,19-Sep,1.99,2.15,0.16,8
PCAR,PACCAR Inc.,22-Oct-19,19-Sep,1.62,1.75,0.13,8
TFX,Teleflex,31-Oct-19,19-Sep,2.75,2.97,0.22,8
CVX,Chevron Corp.,1-Nov-19,19-Sep,1.47,1.59,0.12,8.1
TPR,Tapestry Inc.,5-Nov-19,19-Sep,0.37,0.4,0.03,8.1
CHD,Church & Dwight,31-Oct-19,19-Sep,0.61,0.66,0.05,8.2
FRC,First Republic Bank,15-Oct-19,19-Sep,1.21,1.31,0.1,8.2
NVR,NVR Inc,18-Oct-19,19-Sep,51.78,56.11,4.33,8.3
WMB,Williams Cos.,30-Oct-19,19-Sep,0.24,0.26,0.02,8.3
ZION,Zions Bancorp,21-Oct-19,19-Sep,1.08,1.17,0.09,8.3
AFL,AFLAC Inc,24-Oct-19,19-Sep,1.07,1.16,0.09,8.4
CTAS,Cintas Corporation,24-Sep-19,19-Aug,2.14,2.32,0.18,8.4
CME,CME Group Inc.,30-Oct-19,19-Sep,1.75,1.9,0.15,8.5
BBY,Best Buy Co. Inc.,26-Nov-19,19-Oct,1.04,1.13,0.09,8.6
STT,State Street Corp.,18-Oct-19,19-Sep,1.39,1.51,0.12,8.6
AKAM,Akamai Technologies Inc,28-Oct-19,19-Sep,1.01,1.1,0.09,8.9
LIN,Linde plc,12-Nov-19,19-Sep,1.78,1.94,0.16,8.9
