Ticker Symbol,Company Name,Annoucement Date,For Quarter Ended In,Estimated EPS,Actual EPS,Surprise,Surprise %
AMZN,Amazon.com Inc.,24-Oct-19,19-Sep,4.46,4.23,-0.23,-5.1
GS,Goldman Sachs Group,15-Oct-19,19-Sep,5.03,4.79,-0.24,-4.7
DTE,DTE Energy Co.,28-Oct-19,19-Sep,2,1.91,-0.09,-4.5
BLL,Ball Corp,31-Oct-19,19-Sep,0.73,0.7,-0.03,-4.1
DXC,DXC Technology,11-Nov-19,19-Sep,1.44,1.38,-0.06,-4.1
GWW,Grainger (W.W.) Inc.,23-Oct-19,19-Sep,4.44,4.26,-0.18,-4
MCD,McDonald's Corp.,22-Oct-19,19-Sep,2.2,2.11,-0.09,-4
MTB,M&T Bank Corp.,17-Oct-19,19-Sep,3.61,3.47,-0.14,-3.8
XEL,Xcel Energy Inc,24-Oct-19,19-Sep,1.05,1.01,-0.04,-3.8
FDX,FedEx Corporation,17-Sep-19,19-Aug,3.17,3.05,-0.12,-3.7
ADS,Alliance Data Systems,24-Oct-19,19-Sep,5.24,5.05,-0.19,-3.6
DLTR,Dollar Tree,26-Nov-19,19-Oct,1.12,1.08,-0.04,-3.5
CTL,CenturyLink Inc,6-Nov-19,19-Sep,0.32,0.31,-0.01,-3.1
ED,Consolidated Edison,4-Nov-19,19-Sep,1.59,1.54,-0.05,-3.1
UNP,Union Pacific Corp,17-Oct-19,19-Sep,2.29,2.22,-0.07,-3
VFC,V.F. Corp.,25-Oct-19,19-Sep,1.3,1.26,-0.04,-3
LYB,LyondellBasell,1-Nov-19,19-Sep,2.78,2.7,-0.08,-2.8
MAS,Masco Corp.,30-Oct-19,19-Sep,0.7,0.68,-0.02,-2.8
ODFL,Old Dominion Freight Line,24-Oct-19,19-Sep,1.41,1.37,-0.04,-2.8
JBHT,J. B. Hunt Transport Services,15-Oct-19,19-Sep,1.44,1.4,-0.04,-2.7
EIX,Edison Int'l,29-Oct-19,19-Sep,1.53,1.49,-0.04,-2.6
EMN,Eastman Chemical,24-Oct-19,19-Sep,1.99,1.94,-0.05,-2.5
XEC,Cimarex Energy,4-Nov-19,19-Sep,0.93,0.91,-0.02,-2.1
KR,Kroger Co.,5-Dec-19,19-Oct,0.48,0.47,-0.01,-2
FBHS,Fortune Brands Home & Security,23-Oct-19,19-Sep,0.97,0.95,-0.02,-2
AOS,A.O. Smith Corp,29-Oct-19,19-Sep,0.54,0.53,-0.01,-1.8
ADI,Analog Devices Inc.,26-Nov-19,19-Oct,1.21,1.19,-0.02,-1.6
TSN,Tyson Foods,12-Nov-19,19-Sep,1.23,1.21,-0.02,-1.6
PXD,Pioneer Natural Resources,4-Nov-19,19-Sep,2.02,1.99,-0.03,-1.4
LVS,Las Vegas Sands,23-Oct-19,19-Sep,0.76,0.75,-0.01,-1.3
L,Loews Corp.,28-Oct-19,19-Sep,0.75,0.74,-0.01,-1.3
MAR,Marriott Int'l.,4-Nov-19,19-Sep,1.49,1.47,-0.02,-1.3
EVRG,Evergy,6-Nov-19,19-Sep,1.59,1.57,-0.02,-1.2
LW,Lamb Weston Holdings Inc,2-Oct-19,19-Aug,0.8,0.79,-0.01,-1.2
VMC,Vulcan Materials,6-Nov-19,19-Sep,1.7,1.68,-0.02,-1.1
FISV,Fiserv Inc,6-Nov-19,19-Sep,1.03,1.02,-0.01,-0.9
RCL,Royal Caribbean Cruises Ltd,30-Oct-19,19-Sep,4.31,4.27,-0.04,-0.9
APD,Air Products & Chemicals Inc,7-Nov-19,19-Sep,2.29,2.27,-0.02,-0.8
EOG,EOG Resources,6-Nov-19,19-Sep,1.14,1.13,-0.01,-0.8
VRSK,Verisk Analytics,29-Oct-19,19-Sep,1.13,1.12,-0.01,-0.8
UNM,Unum Group,29-Oct-19,19-Sep,1.37,1.36,-0.01,-0.7
IFF,Intl Flavors & Fragrances,4-Nov-19,19-Sep,1.54,1.53,-0.01,-0.6
ECL,Ecolab Inc.,29-Oct-19,19-Sep,1.72,1.71,-0.01,-0.5
GILD,Gilead Sciences,24-Oct-19,19-Sep,1.76,1.75,-0.01,-0.5
CMI,Cummins Inc.,29-Oct-19,19-Sep,3.84,3.83,-0.01,-0.2
ARE,Alexandria Real Estate Equities,28-Oct-19,19-Sep,1.75,1.75,0,0
HD,Home Depot,19-Nov-19,19-Oct,2.53,2.53,0,0
HRL,Hormel Foods Corp.,26-Nov-19,19-Oct,0.47,0.47,0,0
LB,L Brands Inc.,20-Nov-19,19-Oct,0.02,0.02,0,0
ABT,Abbott Laboratories,16-Oct-19,19-Sep,0.84,0.84,0,0
AMD,Advanced Micro Devices Inc,29-Oct-19,19-Sep,0.18,0.18,0,0
AGN,Allergan plc,5-Nov-19,19-Sep,4.25,4.25,0,0
APTV,Aptiv PLC,30-Oct-19,19-Sep,1.27,1.27,0,0
AIZ,Assurant,5-Nov-19,19-Sep,1.69,1.69,0,0
KO,Coca-Cola Company,18-Oct-19,19-Sep,0.56,0.56,0,0
EMR,Emerson Electric Company,5-Nov-19,19-Sep,1.07,1.07,0,0
FTV,Fortive Corp,24-Oct-19,19-Sep,0.87,0.87,0,0
FCX,Freeport-McMoRan Inc.,23-Oct-19,19-Sep,-0.01,-0.01,0,0
HAL,Halliburton Co.,21-Oct-19,19-Sep,0.34,0.34,0,0
HBI,Hanesbrands Inc,31-Oct-19,19-Sep,0.54,0.54,0,0
HSY,The Hershey Company,24-Oct-19,19-Sep,1.61,1.61,0,0
HES,Hess Corporation,30-Oct-19,19-Sep,-0.32,-0.32,0,0
HOLX,Hologic,6-Nov-19,19-Sep,0.65,0.65,0,0
KMI,Kinder Morgan,16-Oct-19,19-Sep,0.22,0.22,0,0
MCK,McKesson Corp.,30-Oct-19,19-Sep,3.6,3.6,0,0
MCHP,Microchip Technology,5-Nov-19,19-Sep,1.43,1.43,0,0
NWSA,News Corp. Class B,7-Nov-19,19-Sep,0.04,0.04,0,0
OKE,ONEOK,29-Oct-19,19-Sep,0.74,0.74,0,0
PPL,PPL Corp.,5-Nov-19,19-Sep,0.61,0.61,0,0
RF,Regions Financial Corp.,22-Oct-19,19-Sep,0.39,0.39,0,0
RHI,Robert Half International,23-Oct-19,19-Sep,1.01,1.01,0,0
ROL,Rollins Inc.,23-Oct-19,19-Sep,0.22,0.22,0,0
SBUX,Starbucks Corp.,30-Oct-19,19-Sep,0.7,0.7,0,0
SYK,Stryker Corp.,29-Oct-19,19-Sep,1.91,1.91,0,0
TSCO,Tractor Supply Company,24-Oct-19,19-Sep,1.04,1.04,0,0
VAR,Varian Medical Systems,23-Oct-19,19-Sep,1.21,1.21,0,0
WAT,Waters Corporation,29-Oct-19,19-Sep,2.13,2.13,0,0
XYL,Xylem Inc.,31-Oct-19,19-Sep,0.82,0.82,0,0
ORCL,Oracle Corp.,11-Sep-19,19-Aug,0.81,0.81,0,0
WHR,Whirlpool Corp.,22-Oct-19,19-Sep,3.96,3.97,0.01,0.2
ALK,Alaska Air Group Inc,24-Oct-19,19-Sep,2.62,2.63,0.01,0.3
BDX,Becton Dickinson,5-Nov-19,19-Sep,3.3,3.31,0.01,0.3
NSC,Norfolk Southern Corp.,23-Oct-19,19-Sep,2.57,2.58,0.01,0.3
DE,Deere & Co.,27-Nov-19,19-Oct,2.13,2.14,0.01,0.4
AXP,American Express Co,18-Oct-19,19-Sep,2.07,2.08,0.01,0.4
UPS,United Parcel Service,22-Oct-19,19-Sep,2.06,2.07,0.01,0.4
AVGO,Broadcom Inc.,12-Dec-19,19-Oct,5.36,5.39,0.03,0.5
RJF,Raymond James Financial Inc.,23-Oct-19,19-Sep,1.99,2,0.01,0.5
ZBH,Zimmer Biomet Holdings,5-Nov-19,19-Sep,1.76,1.77,0.01,0.5
AEE,Ameren Corp,8-Nov-19,19-Sep,1.46,1.47,0.01,0.6
ANTM,Anthem,23-Oct-19,19-Sep,4.84,4.87,0.03,0.6
ETN,Eaton Corporation,29-Oct-19,19-Sep,1.51,1.52,0.01,0.6
SRE,Sempra Energy,1-Nov-19,19-Sep,1.49,1.5,0.01,0.6
SNA,Snap-on,17-Oct-19,19-Sep,2.94,2.96,0.02,0.6
ADP,Automatic Data Processing,30-Oct-19,19-Sep,1.33,1.34,0.01,0.7
WLTW,Willis Towers Watson,31-Oct-19,19-Sep,1.3,1.31,0.01,0.7
DHR,Danaher Corp.,24-Oct-19,19-Sep,1.15,1.16,0.01,0.8
VZ,Verizon Communications,25-Oct-19,19-Sep,1.24,1.25,0.01,0.8
WELL,Welltower Inc.,28-Oct-19,19-Sep,1.04,1.05,0.01,0.9
COO,The Cooper Companies,5-Dec-19,19-Oct,3.27,3.3,0.03,0.9
T,AT&T Inc.,28-Oct-19,19-Sep,0.93,0.94,0.01,1
BKNG,Booking Holdings Inc,7-Nov-19,19-Sep,44.87,45.36,0.49,1
CNC,Centene Corporation,22-Oct-19,19-Sep,0.95,0.96,0.01,1
C,Citigroup Inc.,15-Oct-19,19-Sep,1.96,1.98,0.02,1
CMA,Comerica Inc.,16-Oct-19,19-Sep,1.91,1.93,0.02,1
DD,DuPont de Nemours Inc,31-Oct-19,19-Sep,0.95,0.96,0.01,1
MTD,Mettler Toledo,7-Nov-19,19-Sep,5.71,5.77,0.06,1
PKG,Packaging Corporation of America,23-Oct-19,19-Sep,1.9,1.92,0.02,1
SYY,Sysco Corp.,4-Nov-19,19-Sep,0.97,0.98,0.01,1
SLG,SL Green Realty,16-Oct-19,19-Sep,1.73,1.75,0.02,1.1
BXP,Boston Properties,29-Oct-19,19-Sep,1.62,1.64,0.02,1.2
AJG,Arthur J. Gallagher & Co.,24-Oct-19,19-Sep,0.79,0.8,0.01,1.2
CBRE,CBRE Group,6-Nov-19,19-Sep,0.78,0.79,0.01,1.2
CE,Celanese,21-Oct-19,19-Sep,2.5,2.53,0.03,1.2
TAP,Molson Coors Brewing Company,30-Oct-19,19-Sep,1.46,1.48,0.02,1.3
SWKS,Skyworks Solutions,12-Nov-19,19-Sep,1.5,1.52,0.02,1.3
WEC,Wec Energy Group Inc,6-Nov-19,19-Sep,0.73,0.74,0.01,1.3
AAP,Advance Auto Parts,12-Nov-19,19-Sep,2.07,2.1,0.03,1.4
AON,Aon plc,25-Oct-19,19-Sep,1.43,1.45,0.02,1.4
CL,Colgate-Palmolive,1-Nov-19,19-Sep,0.7,0.71,0.01,1.4
MKTX,MarketAxess,23-Oct-19,19-Sep,1.4,1.42,0.02,1.4
PAYC,Paycom,29-Oct-19,19-Sep,0.69,0.7,0.01,1.4
DRI,Darden Restaurants,19-Sep-19,19-Aug,1.36,1.38,0.02,1.4
WBA,Walgreens Boots Alliance,28-Oct-19,19-Aug,1.41,1.43,0.02,1.4
CERN,Cerner,24-Oct-19,19-Sep,0.65,0.66,0.01,1.5
FFIV,F5 Networks,23-Oct-19,19-Sep,2.55,2.59,0.04,1.5
IBM,International Business Machines,16-Oct-19,19-Sep,2.64,2.68,0.04,1.5
OMC,Omnicom Group,15-Oct-19,19-Sep,1.3,1.32,0.02,1.5
SEE,Sealed Air,6-Nov-19,19-Sep,0.63,0.64,0.01,1.5
TEL,TE Connectivity Ltd.,30-Oct-19,19-Sep,1.31,1.33,0.02,1.5
FLT,FleetCor Technologies Inc,6-Nov-19,19-Sep,3.05,3.1,0.05,1.6
SNPS,Synopsys Inc.,4-Dec-19,19-Oct,1.13,1.15,0.02,1.7
ABBV,AbbVie Inc.,1-Nov-19,19-Sep,2.29,2.33,0.04,1.7
D,Dominion Energy,1-Nov-19,19-Sep,1.16,1.18,0.02,1.7
FLIR,FLIR Systems,31-Oct-19,19-Sep,0.58,0.59,0.01,1.7
GL,Globe Life Inc.,23-Oct-19,19-Sep,1.7,1.73,0.03,1.7
ACN,Accenture plc,26-Sep-19,19-Aug,1.71,1.74,0.03,1.7
MNST,Monster Beverage,7-Nov-19,19-Sep,0.54,0.55,0.01,1.8
ABC,AmerisourceBergen Corp,7-Nov-19,19-Sep,1.58,1.61,0.03,1.9
IQV,IQVIA Holdings Inc.,30-Oct-19,19-Sep,1.57,1.6,0.03,1.9
AMT,American Tower Corp.,31-Oct-19,19-Sep,1.96,2,0.04,2
ATO,Atmos Energy Corp,6-Nov-19,19-Sep,0.48,0.49,0.01,2
CFG,Citizens Financial Group,18-Oct-19,19-Sep,0.96,0.98,0.02,2
GPC,Genuine Parts,17-Oct-19,19-Sep,1.47,1.5,0.03,2
IPG,Interpublic Group,22-Oct-19,19-Sep,0.48,0.49,0.01,2
TMO,Thermo Fisher Scientific,23-Oct-19,19-Sep,2.88,2.94,0.06,2
KEY,KeyCorp,17-Oct-19,19-Sep,0.47,0.48,0.01,2.1
LH,Laboratory Corp. of America Holding,24-Oct-19,19-Sep,2.84,2.9,0.06,2.1
XLNX,Xilinx,23-Oct-19,19-Sep,0.92,0.94,0.02,2.1
CB,Chubb Limited,29-Oct-19,19-Sep,2.64,2.7,0.06,2.2
DAL,Delta Air Lines Inc.,10-Oct-19,19-Sep,2.27,2.32,0.05,2.2
EXPD,Expeditors,5-Nov-19,19-Sep,0.9,0.92,0.02,2.2
KMB,Kimberly-Clark,22-Oct-19,19-Sep,1.8,1.84,0.04,2.2
MDT,Medtronic plc,19-Nov-19,19-Oct,1.28,1.31,0.03,2.3
DGX,Quest Diagnostics,22-Oct-19,19-Sep,1.72,1.76,0.04,2.3
GPN,Global Payments Inc.,31-Oct-19,19-Sep,1.66,1.7,0.04,2.4
WRK,WestRock,7-Nov-19,19-Sep,1.21,1.24,0.03,2.4
WM,Waste Management Inc.,23-Oct-19,19-Sep,1.16,1.19,0.03,2.5
ALB,Albemarle Corp,6-Nov-19,19-Sep,1.49,1.53,0.04,2.6
BSX,Boston Scientific,23-Oct-19,19-Sep,0.38,0.39,0.01,2.6
GD,General Dynamics,23-Oct-19,19-Sep,3.06,3.14,0.08,2.6
JCI,Johnson Controls International,7-Nov-19,19-Sep,0.76,0.78,0.02,2.6
MYL,Mylan N.V.,5-Nov-19,19-Sep,1.14,1.17,0.03,2.6
GIS,General Mills,18-Sep-19,19-Aug,0.77,0.79,0.02,2.6
EFX,Equifax Inc.,23-Oct-19,19-Sep,1.44,1.48,0.04,2.7
FITB,Fifth Third Bancorp,22-Oct-19,19-Sep,0.73,0.75,0.02,2.7
BLK,BlackRock,15-Oct-19,19-Sep,6.95,7.15,0.2,2.8
CTSH,Cognizant Technology Solutions,30-Oct-19,19-Sep,1.05,1.08,0.03,2.8
V,Visa Inc.,24-Oct-19,19-Sep,1.43,1.47,0.04,2.8
HST,Host Hotels & Resorts,5-Nov-19,19-Sep,0.34,0.35,0.01,2.9
DG,Dollar General,5-Dec-19,19-Oct,1.38,1.42,0.04,2.9
AAL,American Airlines Group,24-Oct-19,19-Sep,1.38,1.42,0.04,2.9
HLT,Hilton Worldwide Holdings Inc,23-Oct-19,19-Sep,1.02,1.05,0.03,2.9
SHW,Sherwin-Williams,22-Oct-19,19-Sep,6.46,6.65,0.19,2.9
PAYX,Paychex Inc.,2-Oct-19,19-Aug,0.69,0.71,0.02,2.9
TJX,TJX Companies Inc.,19-Nov-19,19-Oct,0.66,0.68,0.02,3
DFS,Discover Financial Services,22-Oct-19,19-Sep,2.29,2.36,0.07,3
EBAY,eBay Inc.,23-Oct-19,19-Sep,0.65,0.67,0.02,3
HBAN,Huntington Bancshares,24-Oct-19,19-Sep,0.33,0.34,0.01,3
HII,Huntington Ingalls Industries,7-Nov-19,19-Sep,3.63,3.74,0.11,3
NTRS,Northern Trust Corp.,23-Oct-19,19-Sep,1.64,1.69,0.05,3
PBCT,People's United Financial,17-Oct-19,19-Sep,0.33,0.34,0.01,3
STX,Seagate Technology,1-Nov-19,19-Sep,1,1.03,0.03,3
WAB,Wabtec Corporation,31-Oct-19,19-Sep,1,1.03,0.03,3
